Country	Year	Organization	Publisher	Material	Resource.type	CostUSD	CostEUR	CostNAT	Cost
Finland	2010	Government Institute for Economic Research (VATT)	Centre for Economic Policy Research (CEPR)	cepr discussion paper series - all programme areas	full text materials	1219.97340457978	1100	919.531774207322	1100
Finland	2010	University of Jyväskylä	Chemical Abstracts Service (CAS)	scifinder	reference database	60072.5995082398	54165	45278.5804999451	54165
Finland	2010	University of Oulu	Chemical Abstracts Service (CAS)	scifincer scholar	reference database	81940.0682519667	73882	61760.7695836231	73882
Finland	2010	University of Tampere	Communication Institute for Online Scholarship (CIOS)	cios	reference database	705.3664411934	636	531.656553087143	636
Finland	2010	Library of Parliament	CompOpus	eiliset	full text materials	537.897364746539	485	405.429918627774	485
Finland	2010	Aalto University	CSC - Tieteen tietotekniikan keskus	reaxys	other electronic service	8006.35273423767	7219	6034.63625272969	7219
Finland	2010	University of Turku	CSH Press	csh protocols	full text materials	2181.53426073493	1967	1644.289999878	1967
Finland	2010	Jyväskylä University of Applied Sciences (JAMK)	Datamonitor	marketline	reference resource	5569.73312527241	5022	4198.0805182447	5022
Finland	2010	Arcada University of Applied Sciences	Duodecim	terveysportti	reference database	4248.83464813194	3831	3202.47838817114	3831
Finland	2010	Centria University of Applied Sciences	Duodecim	terveysportti	full text materials	4887.65708543917	4407	3683.97866266515	4407
Finland	2010	Diaconia University of Applied Sciences (Diak)	Duodecim	terveysportti	full text materials	12035.5921695452	10852	9071.59892154351	10852
Finland	2010	University of Helsinki	Duodecim	terveysportti	full text materials	19203.4904548172	17315	14474.2660639998	17315
Finland	2010	Jyväskylä University of Applied Sciences (JAMK)	Duodecim	terveysportti	full text materials	11389.006265118	10269	8584.24708121363	10269
Finland	2010	Social Insurance Institution of Finland (Kela)	Duodecim	terveysportti	reference resource	14112.8741575252	12725	10637.3107516256	12725
Finland	2010	Kymenlaakso University of Applied Sciences (KyAMK)	Duodecim	terveysportti	full text materials	7063.64601251693	6369	5324.0889726604	6369
Finland	2010	Lahti University of Applied Sciences (LAMK)	Duodecim	terveysportti	reference resource	8373.45382234304	7550	6311.33172296844	7550
Finland	2010	Laurea University of Applied Sciences	Duodecim	terveysportti + oppiportti	other electronic service	9862.93044266181	8893	7433.99642547793	8893
Finland	2010	Oulu University of Applied Sciences	Duodecim	terveysportti	other electronic service	7170.1164187348	6465	5404.3390184094	6465
Finland	2010	Satakunta University of Applied Sciences (SAMK)	Duodecim	oppiportti; terveysportti	reference resource; ebook package	11494.3676046044	10364	8663.66118898608	10364
Finland	2010	Tampere University of Applied Sciences (TAMK)	Duodecim	terveysportti	other	13058.1516959294	11774	9842.33373592456	11774
Finland	2010	National Institute for Health and Welfare	Duodecim	terveysportti	full text materials	35537.825275409	32043	26785.9605826593	32043
Finland	2010	Turku University of Applied Sciences	Duodecim	terveysportti (turun amk:n hankkimat sisällöt)	other electronic service	9264.03440768628	8353	6982.58991813978	8353
